date,description,title
Viernes 18 de noviembre de 2016,"(...)  de ‘Lulú’ trabaja un grupo interdisciplinario compuesto por , biomédicos, ortopedista, veterinarios de la institución, con asesoría de profesionales de la salud humana (...)",En un mes 'Lulú' tendría nuevas patas
Viernes  9 de diciembre de 2016,"(...) , tecnología, ingeniería y matemáticas); somos una fábrica de ,, y nuestro problema es retenerlos. Si comparamos un químico, , o mecánico puertorriqueño (...)",Puerto Rico quiere atraer la élite aeroespacial
Jueves  8 de diciembre de 2016,"(...) ,6 por ciento para , industriales y de fabricación.",Demanda laboral para mano de obra calificada
Miércoles  7 de diciembre de 2016,"(...) ”, aseguró el , civil y director de la Central Eléctrica del río Sogamoso (Hidrosogamoso), Juan Esteban Flórez.,Pese al parte de tranquilidad emitido por Isagén (...)",Pérdidas por apertura del embalse Hidrosogamoso
Miércoles  7 de diciembre de 2016,"(...)  padre, un , de suelos expertos en sismos, sólo agravó esta afición hasta lo irremediable. Las placas se movían bajo nosotros. Sin salir de nuestro sitio también (...)","Poeta Santiago Espinosa recibió Premio Jaime Sabines, en México"
Miércoles 16 de noviembre de 2016,"(...)  la investigación, las autoridades  se encontraron con el caso de un , que cayó en manos de la red. ",Capturan al 'rey de las estafas laborales' 
Miércoles 16 de noviembre de 2016,(...)  y Reporte Ciudadano.,"VillaMov, la app que pretende mejorar la movilidad de Villavicencio"
Martes 15 de noviembre de 2016,(...) ,4
Martes 15 de noviembre de 2016,"(...)  de Lérida CDO, constructora del Space), y Jorge Aristizabal (, calculista) que estaba programado para ayer, ",Juicio por caso Space es aplazado de nuevo
Martes 15 de noviembre de 2016,"(...)  se produjeron fisuras, sobre las que se espera trabajar este día.",Lluvias impiden arreglo de vía y reanudar servicio de agua
Martes 15 de noviembre de 2016,(...) ,Conocer la orfebrería prehispánica para imaginar las joyas del futuro
Viernes 18 de noviembre de 2016,(...) ,"Hallaron cuerpo del ingeniero Alejandro Ramírez, desaparecido en 2015"
Martes 15 de noviembre de 2016,"(...)  como , industrial de la Universidad del Valle. Según sus compañeras de estudio, también formaba parte del comité estudiantil que defendía al Hospital Universitario (...)",La extraña desaparición de estudiante en Cali
Martes 15 de noviembre de 2016,"(...)  Martín, que actualmente milita en la primera división y que juega en el estadio , Hilario Sánchez. En este equipo juega el defensor colombiano Mauricio Casierra.",¿Dónde queda San Juan?: ciudad sede del juego Argentina - Colombia
Martes 15 de noviembre de 2016,"(...) ”, dijo el , Javier Parra, coordinador de la regional de La Macarena, de Cormacarena.","La sequía ataca a Caño Cristales, ícono natural del Llano"
Domingo 13 de noviembre de 2016,"(...)  por el peligro que representa el derrumbe. , de la Alcaldía de Bolivar realizan una evaluación técnica para saber qué otras medidas tomar.",Preocupación por derrumbe que afectaría acueducto Sara Brut
Jueves 17 de noviembre de 2016,"(...)  nanómetros. Es probable que este teléfono por fin introduzca un sistema de recarga inalámbrica. El rumor ha cobrado fuerza porque Apple ha estado contratando , especializados (...)",Apple presentaría tres iPhones en 2017
Jueves 17 de noviembre de 2016,(...) .,El estado de las cuentas de los más 'pilos' en Cali
Jueves 17 de noviembre de 2016,"(...) . A., Infraestructura Concesionada, Agremezclas, , Constructores e Interventores modificaron el valor global del contrato con tres adiciones y excluyeron obras, lo que ocasionó un millonario detrimento (...)",Samuel Moreno tendrá que reintegrar 174.996 millones por 'carrusel' de contratos 
Domingo 13 de noviembre de 2016,(...) .,La movilidad sostenible implica cultura ciudadana
Domingo 13 de noviembre de 2016,"(...)  en su contra, que también involucra a su exesposa, Alexandra Garcés; a dos exempleadas y al , agrónomo Jorge Gasca (...)",Tambalea testigo del caso que llevó preso a exministro Urdinola
Miércoles 16 de noviembre de 2016,"(...) .,“El desarrollo de nosotros como equipo es dar un soporte al diagnóstico de una patología”, comentó David Cárdenas Peña, , electrónico del claustro (...)",Colombianos crean 'software' que identifica cerebros con alzhéimer
Miércoles 16 de noviembre de 2016,"(...) .A., Infraestructura Concesionada, Agremezclas, e , Constructores e Interventores modificaron el valor global del contrato con tres adiciones y la exclusión de obras.",Condenan a Samuel Moreno a pagar $ 174.996 millones por 'carrusel'
Miércoles 16 de noviembre de 2016,"(...)  trabajarán en los próximos días para capacitarse en su uso. El gobierno del departamento prometió mandar un , para que los apoye. Por qué un ,, pregunto. Me miran (...)","Pedagogía, cultura digital y herramientas tecnológicas"
Sábado 12 de noviembre de 2016,"(...)  encontró las mejores soluciones.,Pero, de todas maneras, la diferencia es menor con los Renault, cuyos , callaron un poco la soberbia y suficiencia cuando interpretaron las nuevas reglas (...)","Claves del éxito de Mercedes, el mejor equipo de la F1"
Sábado 12 de noviembre de 2016,"(...) , y la gerente de Emcali, Cristina Arango, con voceros de Sintraemcali.",Visita de uruguayos para buscarle salidas a Emcali
Viernes 11 de noviembre de 2016,"(...)  necesitaron dos retroexcavadoras y un equipo de 20 personas, entre antropólogos forenses, topógrafos, , de suelo y obreros calificados. Igualmente, un dron que sobrevoló el terreno (...)",Forenses que hallaron restos de Cervantes llegarán a la Comuna 13
Sábado  5 de noviembre de 2016,(...)  en Bogotá.,"Tras 10 años perdido, podrían restaurar el parque Guillermo Marconi"
Viernes  4 de noviembre de 2016,(...) ,El semillero colombiano que le enseña robótica a estudiantes sordos
Miércoles 16 de noviembre de 2016,(...) .,Los 10 momentos de tensión que marcaron la renegociación del Acuerdo
Miércoles 16 de noviembre de 2016,(...) ”.,Así son los dos ganadores de Olimpiadas del Conocimiento
Jueves 10 de noviembre de 2016,"(...)  a cargo de la Gobernación de Antioquia y de la empresa Bavaria.,Por su parte, la Constructora Mora ,-Insite donará el sistema de hogar inteligente, que consiste en centrar (...)",Casa de la mamá del boxeador Yuberjen Martínez será una realidad
Miércoles  9 de noviembre de 2016,(...) ,En Chaparral Tolima empezó a operar batallón de Desminado Humanitario
Miércoles  9 de noviembre de 2016,(...)  laterales y centrales de un cauce.,"Filtrar lechos de ríos, sin despegar por los estudios"
Miércoles  9 de noviembre de 2016,"(...)  en 289.000 metros lineales en la malla vial”, informó el secretario de Infraestructura, , Rafael Lafont.",$26 mil millones invierte Barranquilla en reparcheo
Martes  8 de noviembre de 2016,(...) ,¿La quinta será la vencida?
