date,link,description,title
Lunes  5 de diciembre de 2016,http://www.eltiempo.com/colombia/cali/mano-de-obra-calificada-concentro-el-65-de-la-oferta-en-cali/16765545,"(...)  vacantes de profesionales, 28,4 por ciento era para instructores de formación para el trabajo, 10,1 por ciento para profesional en recursos humanos y 4,6 por ciento para , industriales (...)","En Cali, mano de obra calificada concentró el 65 % de la oferta"
Martes 29 de noviembre de 2016,http://www.eltiempo.com/estilo-de-vida/ciencia/cientificos-crean-primera-abeja-robotica-que-poliniza-como-una-real-/16761502,"(...) , el , Rafal Dalewski.,""El pasado verano hicimos la prueba y ya tenemos la primera semilla obtenida a través de esta polinización artificial, por lo que queda demostrado (...)",Científicos crean primera abeja robótica que poliniza como una real 
Jueves 15 de diciembre de 2016,http://www.eltiempo.com/colombia/barranquilla/atlantico-y-bolivar-inician-proceso-de-deslinde-/16773697,"(...)  Estanislao, Soplaviento, San Cristóbal y Calamar (por el departamento de Bolívar).","Atlántico y Bolívar, por el acuerdo de sus límites "
Miércoles 23 de noviembre de 2016,http://www.eltiempo.com/colombia/otras-ciudades/huracan-otto-en-san-andres-se-degrada-a-tormenta-tropical/16756875,"(...)  de ser necesario. Asimismo, el Ejército Nacional, con el batallón de , militares, se mantiene activo para cualquier eventualidad que se pueda presentar”, agregó (...)","Se mantiene alerta en San Andrés, pese a que Otto se vuelve tormenta"
Lunes 21 de noviembre de 2016,http://www.eltiempo.com/tecnosfera/novedades-tecnologia/casco-de-papel-reciclable-para-bicicletas-/16755299,(...) .,Crean casco de papel reciclable para bicicleta que fue premiado 
Lunes 21 de noviembre de 2016,http://www.eltiempo.com/colombia/medellin/obras-de-valorizacion-de-el-poblado/16755140,"(...)  en las obras terminadas y el correcto funcionamiento del deprimido y las vías conexas”, agregó.","Pese a nuevo plan, sigue inconformidad por obra de Los Balsos "
Lunes 21 de noviembre de 2016,http://www.eltiempo.com/colombia/medellin/crean-inyector-que-alterna-el-combustible/16754984,"(...)  lo desea, podrá cambiar, mientras se encuentra en ascenso, a gasolina.",Crean inyector que alterna el combustible
Lunes 21 de noviembre de 2016,http://www.eltiempo.com/opinion/editorial/hay-que-cambiar-de-actitud-editorial-el-tiempo/16754801,"(...)  de ,, desplazados por los despidos masivos que el gobierno de Hugo Chávez hizo en su momento en PDVSA.",Editorial: Hay que cambiar de actitud
Viernes 25 de noviembre de 2016,http://www.eltiempo.com/colombia/medellin/aplazan-juicio-por-muerto-en-el-space/16758433,"(...)  la diligencia tras una solicitud del , calculista Jorge Aristizábal, quien pidió que le nombraran un defensor público tras presuntos quebrantos de salud de su abogado defensor (...)",Por sexta ocasión aplazan juicio por fallecido en el Space
Jueves 24 de noviembre de 2016,http://www.eltiempo.com/colombia/medellin/por-sexta-vez-aplazan-audiencia-contra-cdo-por-caso-space/16758169,"(...)  se había reprogramado para realizarse este jueves y el viernes. Sin embargo, el Juzgado Primero Penal del Circuito de Medellín tuvo que aplazar la diligencia ",Por sexta vez aplazan audiencia contra CDO por caso Space
Miércoles 23 de noviembre de 2016,http://www.eltiempo.com/colombia/barranquilla/energia-solar-para-colegio-en-barranquilla/16756906,"(...)  de , Electricistas y Electrónicos (Ieee), Subsección Caribe y el colegio Alexander Von Humboldt.",Prueban energía solar en colegio de Barranquilla
Viernes  9 de diciembre de 2016,http://www.eltiempo.com/colombia/cali/caleno-crea-lampara-de-agujero-negro/16769233,"(...)  para que podamos hablar el lenguaje no solo de diseñadores, sino también hablar con ,, personas de mercadeo, gracias al núcleo común que maneja”, dijo el diseñador.",Caleño ganó premio con la lámpara del agujero negro
Viernes  9 de diciembre de 2016,http://www.eltiempo.com/colombia/otras-ciudades/policia-busca-a-dos-profesionales-desaparecidos-en-el-sur-del-cesar/16769124,(...) ,Policía busca a dos profesionales desaparecidos en el sur del Cesar
Viernes  9 de diciembre de 2016,http://www.eltiempo.com/estilo-de-vida/ciencia/entrevista-a-luis-alberto-alvarez-sobre-puerto-rico-y-la-industria-aeroespacial/16768811,"(...) , tecnología, ingeniería y matemáticas); somos una fábrica de ,, y nuestro problema es retenerlos. Si comparamos un químico, , o mecánico puertorriqueño (...)",Puerto Rico quiere atraer la élite aeroespacial
Jueves  8 de diciembre de 2016,http://www.eltiempo.com/colombia/cali/demanda-laboral-en-el-valle/16768560,"(...) ,6 por ciento para , industriales y de fabricación.",Demanda laboral para mano de obra calificada
Miércoles  7 de diciembre de 2016,http://www.eltiempo.com/colombia/otras-ciudades/perdidas-por-apertura-del-embalse-hidrosogamoso/16768195,"(...) ”, aseguró el , civil y director de la Central Eléctrica del río Sogamoso (Hidrosogamoso), Juan Esteban Flórez.,Pese al parte de tranquilidad emitido por Isagén (...)",Pérdidas por apertura del embalse Hidrosogamoso
Miércoles  7 de diciembre de 2016,http://www.eltiempo.com/entretenimiento/musica-y-libros/santiago-espinosa-recibio-premio-internacional-de-poesia-jaime-sabines-2016/16767702,"(...)  padre, un , de suelos expertos en sismos, sólo agravó esta afición hasta lo irremediable. Las placas se movían bajo nosotros. Sin salir de nuestro sitio también (...)","Poeta Santiago Espinosa recibió Premio Jaime Sabines, en México"
Sábado  3 de diciembre de 2016,http://www.eltiempo.com/economia/sectores/entrevista-a-diana-espinosa-sobre-la-reforma-tributaria/16765059,"(...)  Colombiana de , (SCI)",'No existe voluntad política para combatir la corrupción'
Sábado  3 de diciembre de 2016,http://www.eltiempo.com/tecnosfera/novedades-tecnologia/inventos-del-2016-segun-la-revista-time/16765054,(...) ,"Los inventos del año, según la revista 'Time'"
Jueves 15 de diciembre de 2016,http://www.eltiempo.com/colombia/cali/diseno-suroccidente/16773603,"(...)  proyectos de diferente especialidad. Además, nos forma para que podamos hablar el lenguaje no solo de diseñadores, sino también hablar con ,, personas de mercadeo, gracias (...)",Caleño ganó premio con la lámpara del agujero negro
Jueves 15 de diciembre de 2016,http://www.eltiempo.com/economia/sectores/capacitacion-para-tecnicos-agropecuarios/16773381,"(...)  y todo lo que este se llevó. ,”.","'No solo aprendí a ser mejor campesino, sino mejor persona'"
Miércoles 14 de diciembre de 2016,http://www.eltiempo.com/estilo-de-vida/viajar/la-llegada-del-primer-boeing-747-a-colombia/16773249,(...)  de envergadura y tenía un peso bruto de 330 toneladas.,El día que llegó el avión 'más poderoso': el jumbo
Miércoles 14 de diciembre de 2016,http://www.eltiempo.com/bocas/entrevista-con-el-golfista-argentino-angel-el-pato-cabrera/16773034,"(...)  fue el conjunto de abogados, doctores e , que jugaban en el club, porque la necesidad de ganar dinero lo obligó a abandonar el colegio antes de finalizar sexto grado. Ellos le ayudaron a dar (...)","""El Pato"" Cabrera: de caddie a rey del golf en América Latina"
Lunes 21 de noviembre de 2016,http://www.eltiempo.com/bogota/bicicletas-de-carga-en-bogota/16754797,"(...) , en la localidad de Usaquén.",Ellos rediseñaron bicis para cargar el mercado o pasear los perros
Lunes 21 de noviembre de 2016,http://www.eltiempo.com/tecnosfera/novedades-tecnologia/en-tiempos-de-trump-facebook-pide-a-lideres-mantener-conectado-al-mundo/16754697,(...)  rápidamente estos temas.,"Facebook pide a líderes mundiales mantener ""conectado"" al mundo"
Sábado 19 de noviembre de 2016,http://www.eltiempo.com/estilo-de-vida/ciencia/acandi-tiene-una-comunidad-que-ensena-a-conservas-las-selvas/16753784,"(...)  de dióxido de carbono.,Mauricio Salazar, , forestal del Fondo Acción, organización que acompaña el trabajo de Cocomasur, establece una analogía para entender este (...)",Las lecciones de Acandí para conservar las selvas del Chocó
Sábado  3 de diciembre de 2016,http://www.eltiempo.com/deportes/otros-deportes/magnus-carlsen-el-rey-que-pone-en-jaque-a-sus-rivales/16764787,(...) ,"Magnus Carlsen, el 'rey' que pone en jaque a sus rivales"
Viernes  2 de diciembre de 2016,http://www.eltiempo.com/bogota/restriccion-de-pico-y-placa-en-bogota-para-fin-de-ano/16764310,"(...)  y análisis técnicos de sus ,, que a partir de datos apuntaron, por ejemplo, que en el centro ha habido una ""desmejora en las condiciones de movilidad de sus principales corredores (...)",Bogotá levantará medida de pico y placa para este fin de año
Miércoles 14 de diciembre de 2016,http://www.eltiempo.com/colombia/boyaca-7-dias/ultimato-a-concesionario-del-sisga/16772864,"(...)  y con la experiencia para este tipo de labores, entre ellos montadores e ,, los cuales han venido trabajando por jornadas de 24 horas diarias para garantizar su entrega lo más pronto posible (...)",Ultimato a concesionario del Sisga
Viernes 18 de noviembre de 2016,http://www.eltiempo.com/colombia/medellin/lulu-cabra-atacada-en-medellin/16753194,"(...)  de ‘Lulú’ trabaja un grupo interdisciplinario compuesto por , biomédicos, ortopedista, veterinarios de la institución, con asesoría de profesionales de la salud humana (...)",En un mes 'Lulú' tendría nuevas patas
Miércoles 16 de noviembre de 2016,http://www.eltiempo.com/colombia/llano-7-dias/capturan-a-cesar-marin-rey-de-las-estafas-laborales-/16751058,"(...)  la investigación, las autoridades  se encontraron con el caso de un , que cayó en manos de la red. ",Capturan al 'rey de las estafas laborales' 
Miércoles 16 de noviembre de 2016,http://www.eltiempo.com/colombia/llano-7-dias/villamov-aplicacion-para-mejorar-la-movilidad-de-villavicencio/16751053,(...)  y Reporte Ciudadano.,"VillaMov, la app que pretende mejorar la movilidad de Villavicencio"
Martes 15 de noviembre de 2016,http://www.eltiempo.com/multimedia/especiales/4/16750848,(...) ,4
Martes 15 de noviembre de 2016,http://www.eltiempo.com/colombia/medellin/juicio-por-caso-space-en-medellin/16750729,"(...)  de Lérida CDO, constructora del Space), y Jorge Aristizabal (, calculista) que estaba programado para ayer, ",Juicio por caso Space es aplazado de nuevo
Martes 15 de noviembre de 2016,http://www.eltiempo.com/colombia/cali/invierno-siguen-sin-agua-municipios-del-norte-del-valle-por-derumbe/16750416,"(...)  se produjeron fisuras, sobre las que se espera trabajar este día.",Lluvias impiden arreglo de vía y reanudar servicio de agua
Martes 15 de noviembre de 2016,http://www.eltiempo.com/estilo-de-vida/ciencia/arqueometalurgia-en-ingenieria-mecanica-de-la-universidad-de-los-andes/16750711,(...) ,Conocer la orfebrería prehispánica para imaginar las joyas del futuro
